Latitude,Longitude,State,Visitors,Scaled_Visitors
6.443589,100.216599,Perlis,1669,6.55
5.285153,100.456238,Pulau Pinang,10003,44.88
4.693950,101.117577,Perak,14567,65.86
3.509247,101.524803,Selangor,21990,100.00
3.1516964,101.6942371,Kuala Lumpur,16913,76.65
2.9384381,101.69223,Putrajaya,1306,4.88
2.710492166,101.9400203,Negeri Sembilan,11490,51.72
2.206414407,102.2464615,Melaka,11757,52.94
2.033737609,102.566597,Johor,12376,55.79
4.18400112,102.0420006,Pahang,13189,59.53
4.233241596,103.4478869,Terengganu,10233,45.93
6.119973978,102.2299768,Kelantan,6627,29.35
5.649718444,100.4793343,Kedah,11186,50.32
5.046396097,118.3359704,Sabah,12589,56.77
3.16640749,113.0359838,Sarawak,15465,69.99
5.3168336,115.2198613,Labuan,244,0.0
